Real_Temp,Pred_Temp,Error,Abs_Error
9600.06813602514,9682.970781200349,-82.90264517520882,82.90264517520882
4929.859437580991,4017.997081419452,911.8623561615386,911.8623561615386
3530.1366694495227,2737.2609728603584,792.8756965891644,792.8756965891644
12068.024249512591,11361.957458390116,706.0667911224755,706.0667911224755
25398.0300997285,22132.132123111154,3265.897976617347,3265.897976617347
4895.335752209808,4020.0526146685443,875.2831375412634,875.2831375412634
7580.000022793084,4709.415221237138,2870.584801555946,2870.584801555946
15019.011484330236,13729.869171111859,1289.1423132183772,1289.1423132183772
7535.477776374925,4708.607530065083,2826.8702463098425,2826.8702463098425
12466.383842658091,12032.70573976849,433.6781028896021,433.6781028896021
9933.824285410792,10169.297498432436,-235.47321302164346,235.47321302164346
25360.450834055307,22126.82254962698,3233.628284428327,3233.628284428327
8613.571139982218,8898.036540255876,-284.4654002736588,284.4654002736588
22561.66109433901,22682.657762094823,-120.99666775581136,120.99666775581136
6024.551479231562,5936.6998587588405,87.85162047272115,87.85162047272115
3104.152562146686,6976.840029652269,-3872.687467505583,3872.687467505583
7524.274006888235,4706.576304844194,2817.697702044041,2817.697702044041
5747.726483412773,6693.580247471071,-945.8537640582981,945.8537640582981
4276.636208120183,4074.813986068515,201.82222205166818,201.82222205166818
3543.743725665777,2737.8089838618944,805.9347418038828,805.9347418038828
12131.669640550605,11364.482244149816,767.1873964007882,767.1873964007882
3494.0726115607517,4481.510690903462,-987.4380793427104,987.4380793427104
3541.5394048862668,2737.378954942218,804.1604499440487,804.1604499440487
6484.687330914862,7422.333748516865,-937.6464176020027,937.6464176020027
9614.217107611485,9683.61468519105,-69.39757757956613,69.39757757956613
22628.27195885336,22680.67655945634,-52.4046006029821,52.4046006029821
3533.455447950868,2739.251555253897,794.2038926969708,794.2038926969708
4327.684401064919,4075.001294223631,252.68310684128846,252.68310684128846
27531.156640075733,26865.627391151393,665.5292489243402,665.5292489243402
25412.12199277132,22129.23059115272,3282.8914016186027,3282.8914016186027
6061.94335486547,5938.760065185237,123.18328968023252,123.18328968023252
22556.54747113684,22679.446509118516,-122.89903798167506,122.89903798167506
